pr_id,html_url,metric,original,optimized,delta,delta_pct
2408616836,https://github.com/roboflow/inference/pull/1092,Total nloc,363.0,361.0,-2.0,-0.5509641873278237
2408616836,https://github.com/roboflow/inference/pull/1092,Avg.NLOC,15.5,15.4,-0.0999999999999996,-0.6451612903225784
2408616836,https://github.com/roboflow/inference/pull/1092,AvgCCN,3.25,3.25,0.0,0.0
2408616836,https://github.com/roboflow/inference/pull/1092,Fun Cnt,20.0,20.0,0.0,0.0
2408616836,https://github.com/roboflow/inference/pull/1092,Avg.token,90.15,89.05,-1.1000000000000083,-1.2201885745979018
2616290996,https://github.com/roboflow/inference/pull/1385,Total nloc,146.0,146.0,0.0,0.0
2616290996,https://github.com/roboflow/inference/pull/1385,Avg.NLOC,11.454545454545457,11.454545454545457,0.0,0.0
2616290996,https://github.com/roboflow/inference/pull/1385,AvgCCN,2.363636363636364,3.1818181818181817,0.8181818181818179,34.615384615384606
2616290996,https://github.com/roboflow/inference/pull/1385,Fun Cnt,11.0,11.0,0.0,0.0
2616290996,https://github.com/roboflow/inference/pull/1385,Avg.token,65.54545454545455,69.54545454545455,4.0,6.102635228848821
2519831355,https://github.com/roboflow/inference/pull/1280,Total nloc,596.0,602.0,6.0,1.006711409395973
2519831355,https://github.com/roboflow/inference/pull/1280,Avg.NLOC,19.047619047619047,18.40909090909091,-0.6385281385281374,-3.3522727272727213
2519831355,https://github.com/roboflow/inference/pull/1280,AvgCCN,1.9523809523809523,1.9090909090909092,-0.0432900432900431,-2.217294900221723
2519831355,https://github.com/roboflow/inference/pull/1280,Fun Cnt,21.0,22.0,1.0,4.761904761904762
2519831355,https://github.com/roboflow/inference/pull/1280,Avg.token,78.42857142857143,76.36363636363636,-2.064935064935071,-2.6328862394436237
2356811134,https://github.com/gofiber/fiber/pull/3329,Total nloc,395.5,394.5,-1.0,-0.2528445006321113
2356811134,https://github.com/gofiber/fiber/pull/3329,Avg.NLOC,10.237089201877936,10.209311424100155,-0.0277777777777785,-0.2713444928533288
2356811134,https://github.com/gofiber/fiber/pull/3329,AvgCCN,2.285211267605634,2.285211267605634,0.0,0.0
2356811134,https://github.com/gofiber/fiber/pull/3329,Fun Cnt,44.5,44.5,0.0,0.0
2356811134,https://github.com/gofiber/fiber/pull/3329,Avg.token,71.84311424100156,71.25978090766823,-0.5833333333333286,-0.8119544085693526
2544691147,https://github.com/gofiber/fiber/pull/3479,Total nloc,203.5,212.0,8.5,4.176904176904177
2544691147,https://github.com/gofiber/fiber/pull/3479,Avg.NLOC,8.983555651176133,8.76680304104117,-0.2167526101349626,-2.412770828737341
2544691147,https://github.com/gofiber/fiber/pull/3479,AvgCCN,2.0447898737808377,1.9748493975903616,-0.0699404761904762,-3.420423638012037
2544691147,https://github.com/gofiber/fiber/pull/3479,Fun Cnt,17.125,17.875,0.75,4.37956204379562
2544691147,https://github.com/gofiber/fiber/pull/3479,Avg.token,60.72928499713138,60.80348318407319,0.0741981869418069,0.1221785946357045
2607579182,https://github.com/gofiber/fiber/pull/3532,Total nloc,216.5,244.5,28.0,12.933025404157044
2607579182,https://github.com/gofiber/fiber/pull/3532,Avg.NLOC,14.395833333333334,15.392156862745098,0.9963235294117644,6.920915978547712
2607579182,https://github.com/gofiber/fiber/pull/3532,AvgCCN,4.104166666666667,4.313725490196078,0.2095588235294112,5.106001791579563
2607579182,https://github.com/gofiber/fiber/pull/3532,Fun Cnt,9.5,10.0,0.5,5.263157894736842
2607579182,https://github.com/gofiber/fiber/pull/3532,Avg.token,99.20833333333331,104.2156862745098,5.007352941176464,5.047310818489506
2519312120,https://github.com/netket/netket/pull/2040,Total nloc,142.0,142.0,0.0,0.0
2519312120,https://github.com/netket/netket/pull/2040,Avg.NLOC,16.875,16.875,0.0,0.0
2519312120,https://github.com/netket/netket/pull/2040,AvgCCN,5.75,5.75,0.0,0.0
2519312120,https://github.com/netket/netket/pull/2040,Fun Cnt,8.0,8.0,0.0,0.0
2519312120,https://github.com/netket/netket/pull/2040,Avg.token,144.125,144.75,0.625,0.4336513443191673
2324987642,https://github.com/tinygrad/tinygrad/pull/8994,Total nloc,621.0,621.6,0.6000000000000227,0.0966183574879263
2324987642,https://github.com/tinygrad/tinygrad/pull/8994,Avg.NLOC,7.114366648609606,7.155392289635247,0.0410256410256408,0.5766590766538398
2324987642,https://github.com/tinygrad/tinygrad/pull/8994,AvgCCN,2.806339156735284,2.814031464427591,0.0076923076923072,0.2741047059064651
2324987642,https://github.com/tinygrad/tinygrad/pull/8994,Fun Cnt,79.6,79.6,0.0,0.0
2324987642,https://github.com/tinygrad/tinygrad/pull/8994,Avg.token,108.60673528349584,108.28117438605996,-0.3255608974358921,-0.2997612409452152
2545078467,https://github.com/EricLBuehler/mistral.rs/pull/1379,Total nloc,818.5,838.5,20.0,2.443494196701283
2545078467,https://github.com/EricLBuehler/mistral.rs/pull/1379,Avg.NLOC,43.08571428571429,37.31785714285714,-5.767857142857146,-13.386936339522554
2545078467,https://github.com/EricLBuehler/mistral.rs/pull/1379,AvgCCN,7.857142857142858,6.815476190476191,-1.041666666666667,-13.25757575757576
2545078467,https://github.com/EricLBuehler/mistral.rs/pull/1379,Fun Cnt,18.0,20.5,2.5,13.88888888888889
2545078467,https://github.com/EricLBuehler/mistral.rs/pull/1379,Avg.token,279.18095238095236,242.1511904761905,-37.02976190476187,-13.263713583953049
2558083620,https://github.com/bionic-gpt/bionic-gpt/pull/776,Total nloc,166.0,183.0,17.0,10.240963855421686
2558083620,https://github.com/bionic-gpt/bionic-gpt/pull/776,Avg.NLOC,75.5,84.0,8.5,11.258278145695364
2558083620,https://github.com/bionic-gpt/bionic-gpt/pull/776,AvgCCN,2.0,2.0,0.0,0.0
2558083620,https://github.com/bionic-gpt/bionic-gpt/pull/776,Fun Cnt,2.0,2.0,0.0,0.0
2558083620,https://github.com/bionic-gpt/bionic-gpt/pull/776,Avg.token,339.5,365.0,25.5,7.511045655375552
2615702170,https://github.com/bruin-data/ingestr/pull/264,Total nloc,794.25,782.0,-12.25,-1.5423355366698142
2615702170,https://github.com/bruin-data/ingestr/pull/264,Avg.NLOC,26.552027027027027,26.41640049140049,-0.1356265356265353,-0.5107954111694846
2615702170,https://github.com/bruin-data/ingestr/pull/264,AvgCCN,4.343130630630631,4.280630630630631,-0.0625,-1.4390541136204529
2615702170,https://github.com/bruin-data/ingestr/pull/264,Fun Cnt,35.25,34.5,-0.75,-2.127659574468085
2615702170,https://github.com/bruin-data/ingestr/pull/264,Avg.token,135.58085585585587,134.22457002457003,-1.3562858312858452,-1.000352020736463
2542615571,https://github.com/joamag/boytacean/pull/10,Total nloc,1821.0,1843.0,22.0,1.2081274025260844
2542615571,https://github.com/joamag/boytacean/pull/10,Avg.NLOC,14.971428571428572,15.18095238095238,0.2095238095238087,1.3994910941475778
2542615571,https://github.com/joamag/boytacean/pull/10,AvgCCN,3.5142857142857142,3.5142857142857142,0.0,0.0
2542615571,https://github.com/joamag/boytacean/pull/10,Fun Cnt,105.0,105.0,0.0,0.0
2542615571,https://github.com/joamag/boytacean/pull/10,Avg.token,116.74285714285716,117.96190476190476,1.2190476190476147,1.0442160221895866
2277950711,https://github.com/OpenHFT/Chronicle-Wire/pull/985,Total nloc,1223.0,1224.0,1.0,0.0817661488143908
2277950711,https://github.com/OpenHFT/Chronicle-Wire/pull/985,Avg.NLOC,9.757009345794392,9.766355140186915,0.009345794392523,0.0957854406130234
2277950711,https://github.com/OpenHFT/Chronicle-Wire/pull/985,AvgCCN,2.8411214953271027,2.850467289719626,0.0093457943925234,0.3289473684210566
2277950711,https://github.com/OpenHFT/Chronicle-Wire/pull/985,Fun Cnt,107.0,107.0,0.0,0.0
2277950711,https://github.com/OpenHFT/Chronicle-Wire/pull/985,Avg.token,55.12149532710281,55.205607476635514,0.0841121495327072,0.1525940996948063
2260678480,https://github.com/OpenHFT/Chronicle-Wire/pull/984,Total nloc,67.0,74.0,7.0,10.44776119402985
